,Gene,Transcription Rates mRNA/hr,Key,Value
2313,SEC17,32,,
2314,SEC18,20,,
2315,SEC2,16,,
2316,SEC20,13,,
2317,SEC21,22,,
2318,SEC22,19,,
2319,SEC23,17,,
2320,SEC24,19,,
2321,SEC26,19,,
2322,SEC27,19,,
2323,SEC28,17,,
2324,SEC3,32,,
2325,SEC31,20,,
2326,SEC4,19,,
2327,SEC5,34,,
2328,SEC53,13,,
2329,SEC59,14,,
2330,SEC6,13,,
2331,SEC61,24,,
2332,SEC62,13,,
2333,SEC63,13,,
2334,SEC65,12,,
2335,SEC66,14,,
2336,SEC7,14,,
2337,SEC72,17,,
2338,SEC8,40,,
2339,SEC9,17,,
2340,SED1,38,,
2341,SED4,38,,
2342,SED5,14,,
2343,SEF1,18,,
2344,SEH1,15,,
2345,SEN1,42,,
2346,SEN15,16,,
2347,SEN2,13,,
2348,SEN34,10,,
2349,SEN54,12,,
2350,SEO1,#N/A-nc,,
2351,SER1,13,,
2352,SER2,21,,
2353,SES1,13,,
2354,SET1,15,,
2355,SFA1,30,,
2356,SFH1,11,,
2357,SFI1,15,,
2358,SFL1,16,,
2359,SFP1,13,,
2360,SFT1,13,,
2361,SFT2,17,,
2362,SGA1,21,,
2363,SGD1,12,,
2364,SGE1,20,,
2365,SGS1,25,,
2366,SGV1,16,,
2367,SHA3,17,,
2368,SHC1,#N/A-nc,,
2369,SHE1,17,,
2370,SHE10,22,,
2371,SHE2,13,,
2372,SHE3,26,,
2373,SHE4,#N/A-se,,
2374,SHE9,13,,
2375,SHM1,17,,
2376,SHM2,12,,
2377,SHO1,11,,
2378,SHP1,23,,
2379,SHR3,15,,
2380,SHR5,12,,
2381,SHY1,16,,
2382,SIC1,17,,
2383,SIF1,19,,
2384,SIG1,15,,
2385,SIM1,14,,
2386,SIN3,13,,
2387,SIN4,18,,
2388,SIP1,17,,
2389,SIP18,33,,
2390,SIP2,14,,
2391,SIP3,16,,
2392,SIP4,34,,
2393,SIR1,25,,
2394,SIR2,13,,
2395,SIR3,23,,
2396,SIR4,18,,
2397,SIS1,19,,
2398,SIS2,16,,
2399,SIT4,17,,
2400,SIW14,15,,
2401,SKI2,24,,
2402,SKI3,14,,
2403,SKI8,14,,
2404,SKM1,#N/A-nc,,
2405,SKN1,#N/A-nc,,
2406,SKN7,15,,
2407,SKO1,24,,
2408,SKP1,27,,
2409,SKT5,23,,
2410,SKY1,#N/A-nc,,
2411,SLA1,22,,
2412,SLA2,17,,
2413,SLC1,18,,
2414,SLF1,22,,
2415,SLG1,22,,
2416,SLK19,24,,
2417,SLN1,19,,
2418,SLS1,12,,
2419,SLT2,19,,
2420,SLU7,13,,
2421,SLY1,17,,
2422,SLY41,33,,
2423,SLZ1,#N/A-se,,
2424,SMB1,11,,
2425,SMC1,20,,
2426,SMC2,19,,
2427,SMC3,11,,
2428,SMC4,18,,
2429,SMD1,17,,
2430,SMD2,21,,
2431,SMD3,14,,
2432,SME1,13,,
2433,SMF1,18,,
2434,SMF2,18,,
2435,SMK1,27,,
2436,SMM1,12,,
2437,SMP1,#N/A-se,,
2438,SMP2,18,,
2439,SMP3,13,,
2440,SMT3,17,,
2441,SMT4,22,,
2442,SMX3,13,,
2443,SMY1,#N/A-nc,,
2444,SMY2,20,,
2445,SNC1,24,,
2446,SNC2,14,,
2447,SNF1,18,,
2448,SNF11,19,,
2449,SNF2,24,,
2450,SNF3,15,,
2451,SNF4,18,,
2452,SNF5,25,,
2453,SNF6,13,,
2454,SNF7,39,,
2455,SNF8,20,,
2456,SNG1,#N/A-nc,,
2457,SNI1,18,,
2458,SNI2,23,,
2459,SNL1,11,,
2460,SNM1,12,,
2461,SNO1,#N/A-nc,,
2462,SNO2,11,,
2463,SNO3,9,,
2464,SNP1,10,,
2465,SNP2,14,,
2466,SNP3,15.5,,
2467,SNQ2,24,,
2468,SNT309,75,,
2469,SNU56,#N/A-nc,,
2470,SNU71,#N/A-nc,,
2471,SNZ1,28,,
2472,SNZ2,10,,
2473,SNZ3,10,,
2474,SOD1,14,,
2475,SOD2,24,,
2476,SOF1,11,,
2477,SOH1,14,,
2478,SOK1,17,,
2479,SOK2,10,,
2480,SOL1,23,,
2481,SOL2,34,,
2482,SOL3,15,,
2483,SOL4,30,,
2484,SOM1,12,,
2485,SOR1,13,,
2486,SPA2,11,,
2487,SPB4,12,,
2488,SPB8,14,,
2489,SPC1,15,,
2490,SPC2,11,,
2491,SPC3,18,,
2492,SPC42,32,,
2493,SPC97,20,,
2494,SPC98,20,,
2495,SPE1,21,,
2496,SPE2,13,,
2497,SPE3,15,,
2498,SPF1,20,,
2499,SPH1,25,,
2500,SPI6,12,,
2501,SPK1,31,,
2502,SPL2,12,,
2503,SPO1,#N/A-nc,,
2504,SPO11,#N/A-nc,,
2505,SPO12,17,,
2506,SPO13,14,,
2507,SPO14,22,,
2508,SPO16,#N/A-nc,,
2509,SPO7,12,,
2510,SPP2,15,,
2511,SPP41,16,,
2512,SPR1,14,,
2513,SPR28,#N/A-nc,,
2514,SPR3,14,,
2515,SPR6,14,,
2516,SPS1,#N/A-se,,
2517,SPS100,20,,
2518,SPS18,16,,
2519,SPS19,13,,
2520,SPS2,#N/A-se,,
2521,SPS4,21,,
2522,SPT10,15,,
2523,SPT14,23,,
2524,SPT15,16,,
2525,SPT16,44,,
2526,SPT2,17,,
2527,SPT20,16,,
2528,SPT21,15,,
2529,SPT23,21,,
2530,SPT3,15,,
2531,SPT4,15,,
2532,SPT5,16,,
2533,SPT6,17,,
2534,SPT7,20,,
2535,SPT8,26,,
2536,SQT1,13,,
2537,SRA1,17,,
2538,SRB2,10,,
2539,SRB4,14,,
2540,SRB5,16,,
2541,SRB6,17,,
2542,SRB7,17,,
2543,SRB8,35,,
2544,SRB9,#N/A-nc,,
2545,SRD1,32,,
2546,SRD2,17,,
2547,SRM1,12,,
2548,SRN2,19,,
2549,SRO4,13,,
2550,SRO9,15,,
2551,SRP1,16,,
2552,SRP101,16,,
2553,SRP14,18,,
2554,SRP21,12,,
2555,SRP40,11,,
2556,SRP54,14,,
2557,SRP68,13,,
2558,SRP72,16,,
2559,SRV2,25,,
2560,SSA1,18,,
2561,SSA2,14,,
2562,SSA3,#N/A-se,,
2563,SSA4,#N/A-se,,
2564,SSB1,11,,
2565,SSB2,13,,
2566,SSC1,19,,
2567,SSD1,18,,
2568,SSE1,18,,
2569,SSE2,#N/A-se,,
2570,SSF1,9,,
2571,SSF2,12,,
2572,SSH1,19,,
2573,SSH4,39,,
2574,SSK1,34,,
2575,SSK2,20,,
2576,SSK22,30,,
2577,SSL1,16,,
2578,SSL2,#N/A-se,,
2579,SSM4,18,,
2580,SSN21,64,,
2581,SSN22,16,,
2582,SSN3,14,,
2583,SSN6,11,,
2584,SSN8,25,,
2585,SSO1,19,,
2586,SSO2,19,,
2587,SSP1,17,,
2588,SSP120,29,,
2589,SSS1,19,,
2590,SST2,14,,
2591,SSU1,12,,
2592,SSU72,18,,
2593,SSY1,23,,
2594,SSY5,13,,
2595,STB1,14,,
2596,STB2,37,,
2597,STB3,18,,
2598,STB4,17,,
2599,STB5,14,,
2600,STB6,10,,
2601,STD1,17,,
2602,STE11,26,,
2603,STE12,12,,
2604,STE13,25,,
2605,STE14,11,,
2606,STE18,19,,
2607,STE2,6,,
2608,STE20,23,,
2609,STE23,19,,
2610,STE24,27,,
2611,STE3,#N/A-nc,,
2612,STE4,10,,
2613,STE5,27,,
2614,STE50,23,,
2615,STE6,10,,
2616,STE7,26,,
2617,STF2,29,,
2618,STH1,11,,
2619,STI1,24,,
2620,STL1,#N/A-nc,,
2621,STN1,35,,
2622,STP1,21,,
2623,STP2,#N/A-nc,,
2624,STP22,24,,
2625,STP3,11,,
2626,STP4,9,,
2627,STS1,20,,
2628,STT3,22,,
2629,STT4,13,,
2630,STU1,21,,
2631,STU2,18,,
2632,STV1,21,,
2633,SUA5,14,,
2634,SUA7,20,,
2635,SUB2,19,,
2636,SUC2,19,,
2637,SUI1,13,,
2638,SUI2,13,,
2639,SUI3,21,,
2640,SUL1,#N/A-nc,,
2641,SUL2,16,,
2642,SUM1,9,,
2643,SUN4,8,,
2644,SUP35,17,,
2645,SUP45,12,,
2646,SUR1,14,,
2647,SUR2,10,,
2648,SUR4,12,,
2649,SUR7,13,,
2650,SUT1,15,,
2651,SUV3,10,,
2652,SVL3,16,,
2653,SVS1,11,,
2654,SWE1,10,,
2655,SWH1,23,,
2656,SWI1,18,,
2657,SWI3,16,,
2658,SWI4,13,,
2659,SWI5,17,,
2660,SWI6,21,,
2661,SWP1,15,,
2662,SWP73,13,,
2663,SXM1,13,,
2664,SYF1,15,,
2665,SYF2,14,,
2666,SYG1,14,,
2667,SYS1,15,,
2668,TAF145,20,,
2669,TAF17,18,,
2670,TAF19,15,,
2671,TAF25,14,,
2672,TAF40,22,,
2673,TAF47,17,,
2674,TAF60,15,,
2675,TAF61,22,,
2676,TAF67,#N/A-nc,,
2677,TAF90,18,,
2678,TAL1,15,,
2679,TAP42,13,,
2680,TAS1,21,,
2681,TBF1,12,,
2682,TCI1,11,,
2683,TCM10,38,,
2684,TCP1,16,,
2685,TDH1,10,,
2686,TDH2,13,,
2687,TDH3,18,,
2688,TEA1,12,,
2689,TEC1,13,,
2690,TEF1,17,,
2691,TEF2,20,,
2692,TEF3,26,,
2693,TEF4,10,,
2694,TEL1,63,,
2695,TEL2,16,,
2696,TEM1,18,,
2697,TEP1,24,,
2698,TES1,13,,
2699,TFA1,20,,
2700,TFA2,17,,
2701,TFB1,15,,
2702,TFB2,14,,
2703,TFB3,19,,
2704,TFB4,13,,
2705,TFC1,19,,
2706,TFC2,15,,
2707,TFC3,11,,
2708,TFC4,11,,
2709,TFC5,14,,
2710,TFC6,14,,
2711,TFG1,22,,
2712,TFG2,17,,
2713,TFS1,69,,
2714,TGL1,20,,
2715,TGL2,13,,
2716,THI11,17,,
2717,THI12,18,,
2718,THI2,19,,
2719,THI3,16,,
2720,THI5,33,,
2721,THI6,17,,
2722,THI7,16,,
2723,THI80,13,,
2724,THR1,16,,
2725,THR4,34,,
2726,THS1,16,,
2727,TID3,51,,
2728,TIF1,14,,
2729,TIF11,14,,
2730,TIF2,14,,
2731,TIF3,13,,
2732,TIF32,14,,
2733,TIF34,13,,
2734,TIF35,14,,
2735,TIF4631,12,,
2736,TIF4632,40,,
2737,TIF5,17,,
2738,TIF51A,18,,
2739,TIF51B,12,,
2740,TIM17,20,,
2741,TIM22,14,,
2742,TIM23,11,,
2743,TIM44,13,,
2744,TIM54,14,,
2745,TIN1,22,,
2746,TIP1,114,,
2747,TIP20,17,,
2748,TIR1,19,,
2749,TIR2,17,,
2750,TKL1,12,,
2751,TKL2,#N/A-nc,,
2752,TLG1,17,,
2753,TLG2,24,,
2754,TOA1,14,,
2755,TOA2,16,,
2756,TOF1,12,,
2757,TOF2,11,,
2758,TOK1,18,,
2759,TOM1,29,,
2760,TOM20,13,,
2761,TOM22,18,,
2762,TOM37,36,,
2763,TOM40,17,,
2764,TOM6,13,,
2765,TOM7,19,,
2766,TOM70,16,,
2767,TOM72,18,,
2768,TOP1,11,,
2769,TOP2,14,,
2770,TOP3,18,,
2771,TOR1,27,,
2772,TOR2,18,,
2773,TPD3,27,,
2774,TPI1,15,,
2775,TPK1,18,,
2776,TPK2,17,,
2777,TPK3,11,,
2778,TPM1,27,,
2779,TPM2,24,,
2780,TPS1,38,,
2781,TPS2,28,,
2782,TPS3,19,,
2783,TPT1,8,,
2784,TRA1,84,,
2785,TRF4,13,,
2786,TRF5,11,,
2787,TRK1,17,,
2788,TRK2,18,,
2789,TRL1,10,,
2790,TRM1,9,,
2791,TRP1,18,,
2792,TRP2,22,,
2793,TRP3,17,,
2794,TRP4,17,,
2795,TRP5,23,,
2796,TRR1,14,,
2797,TRR2,18,,
2798,TRX1,18,,
2799,TRX2,18,,
2800,TSA1,15,,
2801,TSL1,27,,
2802,TSM1,42,,
2803,TSP1,14,,
2804,TTP1,12,,
2805,TTR1,22,,
2806,TUB1,15,,
2807,TUB2,20,,
2808,TUB3,21,,
2809,TUB4,#N/A-nc,,
2810,TUF1,13,,
2811,TUP1,21,,
2812,TWF1,30,,
2813,TYE7,16,,
2814,TYR1,14,,
2815,TYS1,26,,
2816,UBA1,21,,
2817,UBA2,15,,
2818,UBA3,13,,
2819,UBC1,23,,
2820,UBC12,18,,
2821,UBC13,14,,
2822,UBC4,24,,
2823,UBC5,69.5,,
2824,UBC6,17,,
2825,UBC7,22,,
2826,UBC8,40,,
2827,UBC9,13,,
2828,UBI4,22,,
2829,UBP1,14,,
2830,UBP11,30,,
2831,UBP12,16,,
2832,UBP13,14,,
2833,UBP14,16,,
2834,UBP2,20,,
2835,UBP3,27,,
2836,UBP5,26,,
2837,UBP7,#N/A-nc,,
2838,UBP9,#N/A-nc,,
2839,UBR1,30,,
2840,UBS1,26,,
2841,UFD1,20,,
2842,UFD2,55,,
2843,UFD4,48,,
2844,UFE1,19,,
2845,UGA1,16,,
2846,UGA3,30,,
2847,UGA4,17,,
2848,UGP1,31,,
2849,UGX2,30,,
2850,ULA1,19,,
2851,UME1,14,,
2852,UME6,17,,
2853,UMP1,20,,
2854,UNG1,10,,
2855,UPF3,23,,
2856,URA1,8,,
2857,URA10,15,,
2858,URA2,15,,
2859,URA3,44,,
2860,URA4,9,,
2861,URA5,15,,
2862,URA6,17,,
2863,URA7,11,,
2864,URA8,16,,
2865,URE2,17,,
2866,URK1,12,,
2867,USO1,15,,
2868,USS1,20,,
2869,UTH1,28,,
2870,UTR1,21,,
2871,UTR2,12,,
2872,UTR3,11,,
2873,UTR4,16,,
2874,UTR5,#N/A-nc,,
2875,VAC7,13,,
2876,VAC8,21,,
2877,VAM3,13,,
2878,VAM6,15,,
2879,VAM7,#N/A-nc,,
2880,VAN1,11,,
2881,VAP1,18,,
2882,VAS1,12,,
2883,VCX1,18,,
2884,VID24,13,,
2885,VIK1,15,,
2886,VMA1,26,,
2887,VMA10,16,,
2888,VMA11,16,,
2889,VMA13,18,,
2890,VMA2,22,,
2891,VMA21,13,,
2892,VMA22,13,,
2893,VMA4,21,,
2894,VMA5,17,,
2895,VMA6,17,,
2896,VMA7,16,,
2897,VMA8,17,,
2898,VPH1,16,,
2899,VPH2,12,,
2900,VPS1,17,,
2901,VPS13,#N/A-se,,
2902,VPS15,17,,
2903,VPS16,14,,
2904,VPS17,31,,
2905,VPS21,17,,
2906,VPS24,18,,
2907,VPS27,24,,
2908,VPS28,15,,
2909,VPS3,27,,
2910,VPS30,24,,
2911,VPS33,22,,
2912,VPS34,24,,
2913,VPS35,15,,
2914,VPS36,20,,
2915,VPS38,#N/A-nc,,
2916,VPS4,19,,
2917,VPS41,20,,
2918,VPS45,17,,
2919,VPS5,17,,
2920,VPS8,13,,
2921,VPS9,20,,
2922,VRP1,#N/A-nc,,
2923,VTI1,74,,
2924,WBP1,15,,
2925,WHI2,16,,
2926,WHI3,18,,
2927,WHI4,19,,
2928,WRS1,13,,
2929,WSC2,11,,
2930,WSC3,19,,
2931,WSC4,15,,
2932,WTM1,16,,
2933,WTM2,10,,
2934,XBP1,35,,
2935,XDJ1,15,,
2936,XKS1,20,,
2937,XRS2,#N/A-nc,,
2938,YAE1,11,,
2939,YAK1,20,,
2940,YAL004W,21,YAL004W,
2941,YAL007C,14,YAL007C,ERP2
2942,YAL008W,16,YAL008W,FUN14
2943,YAL011W,16,YAL011W,SWC3
2944,YAL014C,20,YAL014C,SYN8
2945,YAL017W,29,YAL017W,PSK1
2946,YAL018C,#N/A-nc,,
2947,YAL019W,15,YAL019W,FUN30
2948,YAL022C,12,YAL022C,FUN26
2949,YAL027W,18,YAL027W,SAW1
2950,YAL028W,29,YAL028W,FRT2
2951,YAL031C,23,YAL031C,GIP4
2952,YAL032C,18,YAL032C,PRP45
2953,YAL033W,10,YAL033W,POP5
2954,YAL034C,#N/A-nc,,
2955,YAL034WA,13,,
2956,YAL035W,19,YAL035W,FUN12
2957,YAL035WA,16,,
2958,YAL036C,12,YAL036C,RBG1
2959,YAL037W,15,YAL037W,
2960,YAL042W,14,YAL042W,ERV46
2961,YAL043CA,#N/A-se,,
2962,YAL045C,22,YAL045C,
2963,YAL046C,10,YAL046C,BOL3
2964,YAL048C,18,YAL048C,GEM1
2965,YAL049C,16,YAL049C,AIM2
2966,YAL053W,20,YAL053W,FLC2
2967,YAL055W,16,YAL055W,PEX22
2968,YAL056W,15,YAL056W,GPB2
2969,YAL058CA,14,,
2970,YAL060W,16,YAL060W,BDH1
2971,YAL061W,#N/A-nc,,
2972,YAL064W,#N/A-nc,,
2973,YAL065C,#N/A-se,,
2974,YAL065CA,78,,
2975,YAL066W,14,YAL066W,
2976,YAL068C,25,YAL068C,PAU8
2977,YAL069W,#N/A-nc,,
2978,YAP1,18,,
2979,YAP1801,17,,
2980,YAP1802,14,,
2981,YAP3,20,,
2982,YAP5,#N/A-nc,,
2983,YAP6,23,,
2984,YAP7,15,,
2985,YAR002W,9,YAR002W,NUP60
2986,YAR003W,15,YAR003W,SWD1
2987,YAR009C,18.8,YAR009C,
2988,YAR010C,11,YAR010C,
2989,YAR014C,18,YAR014C,BUD14
2990,YAR023C,#N/A-nc,,
2991,YAR027W,28,YAR027W,UIP3
2992,YAR028W,12,YAR028W,
2993,YAR029W,#N/A-nc,,
2994,YAR030C,18,YAR030C,
2995,YAR031W,12,YAR031W,PRM9
2996,YAR033W,#N/A-nc,,
2997,YAR037W,#N/A-se,,
2998,YAR040C,#N/A-nc,,
2999,YAR043C,#N/A-nc,,
3000,YAR047C,20,YAR047C,
3001,YAR052C,#N/A-se,,
3002,YAR053W,16,YAR053W,
3003,YAR060C,27,YAR060C,
3004,YAR061W,23,YAR061W,
3005,YAR062W,#N/A-nc,,
3006,YAR064W,#N/A-nc,,
3007,YAR066W,17,YAR066W,
3008,YAR068W,#N/A-nc,,
3009,YAR069C,21,YAR069C,
3010,YAR070C,22,YAR070C,
3011,YAR073W,18,YAR073W,IMD1
3012,YAR074C,#N/A-nc,,
3013,YAR075W,17,YAR075W,
3014,YAR1,15,,
3015,YAT1,25,,
3016,YBL004W,12,YBL004W,UTP20
3017,YBL005WA,16,,
3018,YBL005WB,20,,
3019,YBL006C,12,YBL006C,LDB7
3020,YBL009W,16,YBL009W,ALK2
3021,YBL010C,12,YBL010C,
3022,YBL012C,#N/A-nc,,
3023,YBL013W,#N/A-nc,,
3024,YBL018C,11,YBL018C,POP8
3025,YBL024W,10,YBL024W,NCL1
3026,YBL028C,10,YBL028C,
3027,YBL029W,14,YBL029W,
3028,YBL032W,13,YBL032W,HEK2
3029,YBL036C,17,YBL036C,
3030,YBL044W,#N/A-se,,
3031,YBL046W,22,YBL046W,PSY4
3032,YBL047C,19,YBL047C,EDE1
3033,YBL048W,#N/A-se,,
3034,YBL049W,62,YBL049W,MOH1
3035,YBL051C,40,YBL051C,PIN4
3036,YBL053W,21,YBL053W,
3037,YBL054W,12,YBL054W,TOD6
3038,YBL055C,16,YBL055C,
3039,YBL057C,36,YBL057C,PTH2
3040,YBL059W,15,YBL059W,
3041,YBL060W,19,YBL060W,YEL1
3042,YBL062W,25,YBL062W,
3043,YBL064C,85,YBL064C,PRX1
3044,YBL065W,#N/A-nc,,
3045,YBL070C,#N/A-nc,,
3046,YBL071C,15,YBL071C,
3047,YBL073W,16,YBL073W,
3048,YBL077W,33,YBL077W,
3049,YBL078C,#N/A-se,,
3050,YBL081W,10,YBL081W,
3051,YBL083C,15.5,YBL083C,
3052,YBL086C,17,YBL086C,
3053,YBL089W,20,YBL089W,AVT5
3054,YBL094C,47,YBL094C,
3055,YBL095W,13,YBL095W,MRX3
3056,YBL096C,20,YBL096C,
3057,YBL098W,11,YBL098W,BNA4
3058,YBL100C,#N/A-nc,,
3059,YBL101WA,21,,
3060,YBL101WB,24,,
3061,YBL104C,16,YBL104C,SEA4
3062,YBL107C,10,YBL107C,MIX23
3063,YBL108W,#N/A-se,,
3064,YBL111C,12.5,YBL111C,
3065,YBL112C,12,YBL112C,
3066,YBL113C,15,YBL113C,
3067,YBR002C,15,YBR002C,RER2
3068,YBR004C,21,YBR004C,GPI18
3069,YBR005W,26,YBR005W,RCR1
3070,YBR006W,17,YBR006W,UGA2
3071,YBR007C,23,YBR007C,DSF2
3072,YBR012C,24,YBR012C,
3073,YBR012WA,11,,
3074,YBR012WB,11,,
3075,YBR013C,21,YBR013C,
3076,YBR014C,15,YBR014C,GRX7
3077,YBR016W,19,YBR016W,
3078,YBR022W,18,YBR022W,POA1
3079,YBR025C,17,YBR025C,OLA1
3080,YBR026C,25,YBR026C,ETR1
3081,YBR027C,18,YBR027C,
3082,YBR028C,17,YBR028C,YPK3
3083,YBR030W,34,YBR030W,RKM3
3084,YBR032W,25,YBR032W,
3085,YBR033W,#N/A-nc,,
3086,YBR042C,15,YBR042C,CST26
3087,YBR043C,#N/A-nc,,
3088,YBR044C,18,YBR044C,TCM62
3089,YBR047W,12,YBR047W,FMP23
3090,YBR051W,#N/A-se,,
3091,YBR052C,14,YBR052C,RFS1
3092,YBR053C,33,YBR053C,
3093,YBR056W,22,YBR056W,
3094,YBR059C,20,YBR059C,AKL1
3095,YBR061C,11,YBR061C,TRM7
3096,YBR062C,23,YBR062C,
3097,YBR063C,19,YBR063C,
3098,YBR064W,#N/A-nc,,
3099,YBR071W,34,YBR071W,
3100,YBR074W,12,YBR074W,PFF1
3101,YBR075W,13,,
3102,YBR077C,23,YBR077C,SLM4
3103,YBR086C,18,YBR086C,IST2
3104,YBR089W,11,YBR089W,
3105,YBR090C,14.5,YBR090C,
3106,YBR090CA,19,,
3107,YBR094W,17,YBR094W,PBY1
3108,YBR095C,18,YBR095C,RXT2
3109,YBR096W,21,YBR096W,
3110,YBR098W,16,YBR098W,MMS4
3111,YBR099C,#N/A-se,,
3112,YBR100W,#N/A-nc,,
3113,YBR101C,#N/A-se,,
3114,YBR102C,55,YBR102C,EXO84
3115,YBR103W,21,YBR103W,SIF2
3116,YBR107C,16,YBR107C,IML3
3117,YBR108W,22,YBR108W,AIM3
3118,YBR113W,23,YBR113W,
3119,YBR116C,#N/A-nc,,
3120,YBR124W,#N/A-se,,
3121,YBR125C,14,YBR125C,PTC4
3122,YBR128C,13,YBR128C,ATG14
3123,YBR131W,29,YBR131W,CCZ1
3124,YBR134W,30,YBR134W,
3125,YBR137W,17,YBR137W,
3126,YBR139W,16,YBR139W,
3127,YBR141C,11,YBR141C,BMT2
3128,YBR144C,33,YBR144C,
3129,YBR147W,20,YBR147W,RTC2
3130,YBR149W,24,YBR149W,ARA1
3131,YBR150C,57,YBR150C,TBS1
3132,YBR151W,18,YBR151W,APD1
3133,YBR152W,17,YBR152W,SPP381
3134,YBR155W,9,YBR155W,CNS1
3135,YBR156C,27,YBR156C,SLI15
3136,YBR157C,45,YBR157C,ICS2
3137,YBR158W,11,YBR158W,AMN1
3138,YBR159W,17,YBR159W,IFA38
3139,YBR161W,19,YBR161W,CSH1
3140,YBR162C,16,YBR162C,TOS1
3141,YBR163W,14,YBR163W,EXO5
3142,YBR168W,45,YBR168W,PEX32
3143,YBR174C,34,YBR174C,
3144,YBR175W,14,YBR175W,SWD3
3145,YBR177C,16,YBR177C,EHT1
3146,YBR178W,#N/A-nc,,
3147,YBR180W,18,YBR180W,DTR1
3148,YBR183W,26,YBR183W,YPC1
3149,YBR184W,16,YBR184W,
3150,YBR187W,12,YBR187W,GDT1
3151,YBR190W,15,YBR190W,
3152,YBR194W,21,YBR194W,AIM4
3153,YBR197C,13,YBR197C,
3154,YBR203W,35,YBR203W,COS111
3155,YBR204C,17,YBR204C,LDH1
3156,YBR206W,12,YBR206W,
3157,YBR209W,#N/A-se,,
3158,YBR210W,21,YBR210W,ERV15
3159,YBR214W,56,YBR214W,SDS24
3160,YBR216C,28,YBR216C,YBP1
3161,YBR217W,29,YBR217W,ATG12
3162,YBR219C,10,YBR219C,
3163,YBR220C,14,YBR220C,
3164,YBR223C,#N/A-nc,,
3165,YBR224W,#N/A-nc,,
3166,YBR225W,87,YBR225W,
3167,YBR226C,35,YBR226C,
3168,YBR227C,20,YBR227C,MCX1
3169,YBR228W,#N/A-nc,,
3170,YBR230C,18,YBR230C,OM14
3171,YBR231C,20,YBR231C,SWC5
3172,YBR232C,23,YBR232C,
3173,YBR233W,18,YBR233W,PBP2
3174,YBR234C,28,YBR234C,ARC40
3175,YBR235W,19,YBR235W,VHC1
3176,YBR238C,12,YBR238C,
3177,YBR239C,24,YBR239C,ERT1
3178,YBR241C,18,YBR241C,
3179,YBR242W,12,YBR242W,
3180,YBR244W,14,YBR244W,GPX2
3181,YBR246W,18,YBR246W,RRT2
3182,YBR250W,16,YBR250W,SPO23
3183,YBR254C,14,YBR254C,TRS20
3184,YBR255W,22,YBR255W,MTC4
3185,YBR258C,20,YBR258C,SHG1
3186,YBR259W,19,YBR259W,
3187,YBR260C,14,YBR260C,RGD1
3188,YBR261C,13,YBR261C,TAE1
3189,YBR262C,16,YBR262C,MIC12
3190,YBR265W,12,YBR265W,TSC10
3191,YBR266C,#N/A-nc,,
3192,YBR267W,9,YBR267W,REI1
3193,YBR269C,27,YBR269C,SDH8
3194,YBR270C,15,YBR270C,BIT2
3195,YBR271W,11,YBR271W,EFM2
3196,YBR273C,18,YBR273C,UBX7
3197,YBR274W,14,YBR274W,CHK1
3198,YBR277C,#N/A-nc,,
3199,YBR280C,59,YBR280C,SAF1
3200,YBR281C,17,YBR281C,DUG2
3201,YBR284W,52,YBR284W,
3202,YBR285W,14,YBR285W,
3203,YBR287W,26,YBR287W,
3204,YBR292C,15,YBR292C,
3205,YBR293W,27,YBR293W,VBA2
3206,YBR296C,#N/A-nc,,
3207,YBR300C,#N/A-nc,,
3208,YBR301W,27,YBR301W,PAU24
3209,YBR302C,19,YBR302C,COS2
3210,YBT1,21,,
3211,YCF1,18,,
3212,YCK1,17,,
3213,YCK2,16,,
3214,YCK3,21,,
3215,YCL002C,17,YCL002C,
3216,YCL004W,#N/A-nc,,
3217,YCL005W,15,YCL005W,LDB16
3218,YCL006C,17,,
3219,YCL010C,17,YCL010C,SGF29
3220,YCL012W,32,,
3221,YCL014W,#N/A-nc,,
3222,YCL016C,25,YCL016C,DCC1
3223,YCL019W,22,YCL019W,
3224,YCL020W,15,YCL020W,
3225,YCL021W,22,,
3226,YCL022C,#N/A-se,,
3227,YCL023C,27,YCL023C,
3228,YCL024W,34,YCL024W,KCC4
3229,YCL026C,29,,
3230,YCL028W,21,YCL028W,RNQ1
3231,YCL033C,27,YCL033C,MXR2
3232,YCL034W,43,YCL034W,LSB5
3233,YCL035C,47,YCL035C,GRX1
3234,YCL036W,10,YCL036W,GFD2
3235,YCL038C,61,YCL038C,ATG22
3236,YCL039W,50,YCL039W,GID7
3237,YCL041C,40,YCL041C,
3238,YCL042W,24,YCL042W,
3239,YCL044C,54,YCL044C,MGR1
3240,YCL045C,31,YCL045C,EMC1
3241,YCL046W,#N/A-nc,,
3242,YCL047C,16,YCL047C,POF1
3243,YCL048W,#N/A-nc,,
3244,YCL049C,#N/A-se,,
3245,YCL053C,23,,
3246,YCL054W,20,YCL054W,SPB1
3247,YCL056C,21,YCL056C,PEX34
3248,YCL058C,24,YCL058C,FYV5
3249,YCL060C,23,,
3250,YCL061C,15,YCL061C,MRC1
3251,YCL062W,#N/A-nc,,
3252,YCL063W,21,YCL063W,VAC17
3253,YCL065W,#N/A-se,,
3254,YCL068C,#N/A-se,,
3255,YCL069W,#N/A-se,,
3256,YCL073C,21,YCL073C,GEX1
3257,YCL074W,#N/A-nc,,
3258,YCL075W,#N/A-se,,
3259,YCL076W,#N/A-se,,
3260,YCP4,43,,
3261,YCR001W,#N/A-nc,,
