,Gene,Transcription Rates mRNA/hr,Key,Value
566,DIF1,16,,
567,DIG1,10,,
568,DIG2,45,,
569,DIM1,10,,
570,DIN7,#N/A-nc,,
571,DIP2,10,,
572,DIP5,23,,
573,DIS3,15,,
574,DIT1,31,,
575,DIT2,23,,
576,DJP1,16,,
577,DLD1,13,,
578,DMC1,15,,
579,DNA2,13,,
580,DNA43,13,,
581,DNL4,#N/A-nc,,
582,DNM1,16,,
583,DOA1,16,,
584,DOA4,27,,
585,DOC1,#N/A-nc,,
586,DOG1,#N/A-nc,,
587,DOG2,#N/A-nc,,
588,DOM34,13,,
589,DOS2,22,,
590,DOT4,9,,
591,DOT5,20,,
592,DOT6,18,,
593,DPB11,14,,
594,DPB2,26,,
595,DPB3,19,,
596,DPH2,13,,
597,DPH5,14,,
598,DPL1,23,,
599,DPM1,11,,
600,DPP1,18,,
601,DPS1,18,,
602,DRS1,10,,
603,DRS2,19,,
604,DSK2,18,,
605,DSS4,16,,
606,DST1,19,,
607,DTP,12,,
608,DUN1,26,,
609,DUO1,29,,
610,"DUR1,2",19,,
611,DUR3,23,,
612,DUT1,13,,
613,DYN1,#N/A-nc,,
614,DYN2,19,,
615,DYS1,15,,
616,ECM1,8,,
617,ECM10,11,,
618,ECM11,#N/A-se,,
619,ECM13,17,,
620,ECM14,21,,
621,ECM15,17,,
622,ECM16,13,,
623,ECM17,13,,
624,ECM18,#N/A-nc,,
625,ECM19,18,,
626,ECM2,18,,
627,ECM21,19,,
628,ECM22,#N/A-nc,,
629,ECM25,#N/A-nc,,
630,ECM27,13,,
631,ECM29,19,,
632,ECM3,11,,
633,ECM30,12,,
634,ECM31,12,,
635,ECM32,22,,
636,ECM33,13.5,,
637,ECM34,#N/A-se,,
638,ECM37,31,,
639,ECM38,21,,
640,ECM39,14,,
641,ECM4,15,,
642,ECM5,#N/A-nc,,
643,ECM6,14,,
644,ECM7,25,,
645,ECM8,25,,
646,ECM9,14,,
647,EFB1,14,,
648,EFT1,14,,
649,EFT2,13,,
650,EGD1,15,,
651,EGD2,17,,
652,EGT2,10,,
653,EHD1,12,,
654,EHD2,21,,
655,ELC1,11,,
656,ELM1,#N/A-nc,,
657,ELO1,13,,
658,EMP24,16,,
659,EMP47,31,,
660,EMP70,11,,
661,ENA1,#N/A-nc,,
662,ENA2,19,,
663,ENA5,13,,
664,END3,17,,
665,ENO1,13,,
666,ENO2,17,,
667,EPT1,13.5,,
668,ERD1,18,,
669,ERD2,23,,
670,ERG1,11,,
671,ERG10,12,,
672,ERG11,16,,
673,ERG12,15,,
674,ERG19,12,,
675,ERG2,15,,
676,ERG20,17,,
677,ERG24,12,,
678,ERG25,13,,
679,ERG3,12,,
680,ERG4,17,,
681,ERG5,12,,
682,ERG6,14,,
683,ERG7,12,,
684,ERG8,23,,
685,ERG9,21,,
686,ERO1,30,,
687,ERR1,23,,
688,ERR2,#N/A-nc,,
689,ERS1,25,,
690,ERV1,12,,
691,ERV25,20,,
692,ESBP6,21,,
693,ESC2,18,,
694,ESC4,12,,
695,ESC5,15,,
696,ESP1,#N/A-nc,,
697,ESS1,18,,
698,EST1,15,,
699,EST2,15,,
700,ETF-BETA,37,,
701,ETH1,25,,
702,EUG1,13,,
703,EXG1,13,,
704,EXG2,14,,
705,EXM2,14,,
706,EXO1,24,,
707,EXO70,#N/A-nc,,
708,EZL1,17,,
709,FAA1,37,,
710,FAA2,#N/A-nc,,
711,FAA3,13,,
712,FAA4,13,,
713,FAB1,#N/A-nc,,
714,FAD1,23,,
715,FAL1,9,,
716,FAR1,9,,
717,FAR3,20,,
718,FAS1,11,,
719,FAS2,13,,
720,FAT1,17,,
721,FAT2,17,,
722,FBA1,16,,
723,FBP1,#N/A-nc,,
724,FBP26,71,,
725,FCP1,10,,
726,FCY1,16,,
727,FCY2,12,,
728,FCY21,17,,
729,FCY22,#N/A-nc,,
730,FDH1,14,,
731,FEN2,26,,
732,FET3,13,,
733,FET4,15,,
734,FET5,21,,
735,FHL1,15,,
736,FIG1,#N/A-nc,,
737,FIG2,22,,
738,FIG4,14,,
739,FIP1,16,,
740,FIR1,20,,
741,FKH1,12,,
742,FKH2,13,,
743,FKS3,#N/A-se,,
744,FLO1,20,,
745,FLO10,45,,
746,FLO11,20,,
747,FLO5,33,,
748,FLO8,21,,
749,FLO9,#N/A-nc,,
750,FLR1,38,,
751,FLX1,14,,
752,FMC1,17,,
753,FMS1,18,,
754,FOB1,11,,
755,FOL2,19,,
756,FOX2,#N/A-nc,,
757,FPR1,28,,
758,FPR2,13,,
759,FPR3,15,,
760,FPR4,13,,
761,FPS1,21,,
762,FRE1,13,,
763,FRE2,20,,
764,FRE3,#N/A-nc,,
765,FRE4,11,,
766,FRE5,14,,
767,FRE6,44,,
768,FRE7,14,,
769,FRM2,22,,
770,FRS1,19,,
771,FRS2,14,,
772,FSP2,19,,
773,FTH1,34,,
774,FTR1,9,,
775,FUI1,10,,
776,FUM1,22,,
777,FUR1,12,,
778,FUR4,16,,
779,FUS1,13,,
780,FUS2,19,,
781,FUS3,12,,
782,FZF1,17,,
783,FZO1,19,,
784,GAA1,12,,
785,GAC1,29,,
786,GAL1,#N/A-nc,,
787,GAL10,#N/A-nc,,
788,GAL11,15,,
789,GAL2,9,,
790,GAL3,26,,
791,GAL4,#N/A-nc,,
792,GAL7,18,,
793,GAL80,16,,
794,GAL83,#N/A-nc,,
795,GAP1,25,,
796,GAR1,10,,
797,GAT1,13,,
798,GBP2,25,,
799,GCD1,15,,
800,GCD10,10,,
801,GCD11,12,,
802,GCD14,11,,
803,GCD2,14,,
804,GCD6,15,,
805,GCD7,15,,
806,GCN1,26,,
807,GCN2,26,,
808,GCN20,18,,
809,GCN3,14,,
810,GCN4,14,,
811,GCN5,14,,
812,GCR1,25,,
813,GCR2,13,,
814,GCR3,12,,
815,GCS1,14,,
816,GCV1,17,,
817,GCV3,16,,
818,GCY1,46,,
819,GDA1,10,,
820,GDH1,27,,
821,GDH2,34,,
822,GDH3,18,,
823,GDI1,24,,
824,GDS1,10,,
825,GEA1,13,,
826,GEA2,16,,
827,GEF1,16,,
828,GFA1,26,,
829,GIC1,#N/A-nc,,
830,GIC2,36,,
831,GIF1,15,,
832,GIM1,13,,
833,GIN10,40,,
834,GIN11,#N/A-se,,
835,GIN4,17,,
836,GIN5,25,,
837,GIP1,14,,
838,GIP2,#N/A-nc,,
839,GIS1,20,,
840,GIT1,#N/A-nc,,
841,GLC3,80,,
842,GLC7,17.5,,
843,GLC8,21,,
844,GLE1,15,,
845,GLE2,16,,
846,GLG1,42,,
847,GLG2,16,,
848,GLK1,36,,
849,GLN1,14,,
850,GLN3,25,,
851,GLN4,13,,
852,GLO1,16,,
853,GLO2,14,,
854,GLO3,22,,
855,GLO4,11,,
856,GLR1,15,,
857,GLS1,14,,
858,GLS2,30,,
859,GLT1,24,,
860,GLY1,14,,
861,GND1,13,,
862,GND2,17,,
863,GNP1,14,,
864,GNS1,14,,
865,GOG5,14,,
866,GOS1,16,,
867,GPA1,11,,
868,GPA2,16,,
869,GPD1,15,,
870,GPD2,14,,
871,GPH1,17,,
872,GPI1,16,,
873,GPI10,14,,
874,GPI2,14,,
875,GPI8,16,,
876,GPM1,19,,
877,GPM2,16,,
878,GPM3,11,,
879,GPP1,11,,
880,GPR1,27,,
881,GRD19,21,,
882,GRE1,23,,
883,GRE2,13,,
884,GRE3,104,,
885,GRR1,18,,
886,GRS1,15,,
887,GSD2,17,,
888,GSG1,12,,
889,GSH1,17,,
890,GSH2,17,,
891,GSP1,18,,
892,GSP2,27,,
893,GSS1,15,,
894,GSY1,#N/A-nc,,
895,GSY2,42,,
896,GTR1,17,,
897,GTS1,35,,
898,GUA1,12,,
899,GUF1,23,,
900,GUK1,19,,
901,GUT1,14,,
902,GUT2,#N/A-nc,,
903,GYP1,23,,
904,GYP6,15,,
905,GYP7,116,,
906,GZF3,27,,
907,HAC1,15,,
908,HAD1,9,,
909,HAL1,23,,
910,HAL2,11,,
911,HAL5,20,,
912,HAM1,13,,
913,HAP1,15,,
914,HAP2,26,,
915,HAP3,12,,
916,HAP4,29,,
917,HAP5,37,,
918,HAS1,9,,
919,HAT1,22,,
920,HAT2,14,,
921,HBS1,15,,
922,HCA4,8,,
923,HCM1,23,,
924,HCS1,#N/A-nc,,
925,HCT1,#N/A-nc,,
926,HDA1,13,,
927,HDF1,23,,
928,HDF2,#N/A-nc,,
929,HDR1,#N/A-nc,,
930,HEM1,12,,
931,HEM12,12,,
932,HEM13,11,,
933,HEM14,15,,
934,HEM15,12,,
935,HEM2,16,,
936,HEM3,#N/A-nc,,
937,HEM4,18,,
938,HES1,15,,
939,HEX3,21,,
940,HFI1,10,,
941,HFM1,#N/A-nc,,
942,HGH1,8,,
943,HHF1,17,,
944,HHF2,14,,
945,HHO1,10,,
946,HHT1,16,,
947,HHT2,12,,
948,HIF1,11,,
949,HIG1,19,,
950,HIP1,14,,
951,HIR1,14,,
952,HIR2,12,,
953,HIR3,#N/A-nc,,
954,HIS1,11,,
955,HIS2,9,,
956,HIS3,22,,
957,HIS4,20,,
958,HIS5,20,,
959,HIS6,14,,
960,HIS7,12,,
961,HIT1,9,,
962,HKR1,19,,
963,HLJ1,29,,
964,HMG1,12,,
965,HMG2,40,,
966,HMGS,13,,
967,HMO1,14,,
968,HMS1,19,,
969,HMS2,10,,
970,HMT1,14,,
971,HNM1,15,,
972,HNT1,20.5,,
973,HNT2,18,,
974,HO,10,,
975,HOC1,16,,
976,HOG1,23,,
977,HOL1,17,,
978,HOM2,17,,
979,HOM3,29,,
980,HOM6,17,,
981,HOP1,41,,
982,HOP2,20,,
983,HOR2,12,,
984,HOR7,21,,
985,HOS1,9,,
986,HOS2,15,,
987,HOS3,18,,
988,HPA1,9,,
989,HPA2,#N/A-nc,,
990,HPA3,10,,
991,HPC2,18,,
992,HPR1,24,,
993,HPR5,14,,
994,HPT1,10,,
995,HRB1,13,,
996,HRD1,26,,
997,HRD3,45,,
998,HRR25,19,,
999,HRT2,25,,
1000,HSC82,15,,
1001,HSF1,20,,
1002,HSH49,12,,
1003,HSL1,37,,
1004,HSL7,17,,
1005,HSM3,23,,
1006,HSN1,10,,
1007,HSP10,19,,
1008,HSP104,44,,
1009,HSP12,25,,
1010,HSP150,22,,
1011,HSP26,#N/A-se,,
1012,HSP30,#N/A-se,,
1013,HSP42,#N/A-se,,
1014,HSP60,19,,
1015,HSP78,58,,
1016,HSP82,34,,
1017,HST1,20,,
1018,HST2,13,,
1019,HST3,14,,
1020,HST4,16,,
1021,HTA1,13.5,,
1022,HTA2,13,,
1023,HTA3,12,,
1024,HTB1,12,,
1025,HTB2,11,,
1026,HTS1,15,,
1027,HUS2,24,,
1028,HVG1,#N/A-nc,,
1029,HXK1,23,,
1030,HXK2,10,,
1031,HXT1,10,,
1032,HXT10,14,,
1033,HXT11,11,,
1034,HXT12,18,,
1035,HXT13,#N/A-se,,
1036,HXT14,#N/A-nc,,
1037,HXT15,#N/A-se,,
1038,HXT16,37,,
1039,HXT17,14,,
1040,HXT2,21,,
